"schema_version","organization_id","organization_name","organization_short_name","organization_kind","explicit_lead_links","explicit_collaborator_links","other_named_party_links","source_role_links","directive_units_named_in","record_path"
"0.3.0","dgs","California Department of General Services","DGS","state-agency","0","1","0","1","1","/organizations/dgs/"
"0.3.0","hcd","California Department of Housing and Community Development","HCD","state-agency","0","1","0","1","1","/organizations/hcd/"
"0.3.0","caltrans","California Department of Transportation","Caltrans","state-agency","20","0","0","20","20","/organizations/caltrans/"
"0.3.0","chsr","California High-Speed Rail Authority","CHSRA","state-agency","0","0","1","1","1","/organizations/chsr/"
"0.3.0","cimp","California Integrated Mobility Program","CIMP","state-program","0","0","1","1","1","/organizations/cimp/"
"0.3.0","calitp","California Integrated Travel Project","Cal-ITP","state-program","0","0","1","1","1","/organizations/calitp/"
"0.3.0","calsta","California State Transportation Agency","CalSTA","state-agency","2","0","1","3","3","/organizations/calsta/"
"0.3.0","ctc","California Transportation Commission","CTC","state-commission","0","3","0","3","3","/organizations/ctc/"
"0.3.0","caltrans-rail","Caltrans Division of Rail","Division of Rail","state-office","0","1","0","1","1","/organizations/caltrans-rail/"
"0.3.0","caltrans-it","Caltrans Information Technology","Caltrans IT","state-office","0","1","0","1","1","/organizations/caltrans-it/"
"0.3.0","fhwa","Federal Highway Administration","FHWA","federal-agency","0","0","1","1","1","/organizations/fhwa/"
"0.3.0","fra","Federal Railroad Administration","FRA","federal-agency","0","0","1","1","1","/organizations/fra/"
"0.3.0","fta","Federal Transit Administration","FTA","federal-agency","0","0","3","3","3","/organizations/fta/"
"0.3.0","fta-5307-jurisdictions","Jurisdictions receiving FTA Section 5307 funding","Section 5307 jurisdictions","role-group","0","1","0","1","1","/organizations/fta-5307-jurisdictions/"
"0.3.0","local-agencies","Local agencies","Local agencies","role-group","0","0","1","1","1","/organizations/local-agencies/"
"0.3.0","local-regional-agencies","Local and regional agencies","Local and regional agencies","role-group","0","1","0","1","1","/organizations/local-regional-agencies/"
"0.3.0","regions","Regions reprogramming federal formula funds","Regions","role-group","0","0","1","1","1","/organizations/regions/"
"0.3.0","federal-agencies","Relevant federal agencies","Federal agencies","role-group","0","0","1","1","1","/organizations/federal-agencies/"
"0.3.0","local-partners","Relevant local partners","Local partners","role-group","0","2","0","2","2","/organizations/local-partners/"
"0.3.0","toll-operators","Toll operators","Toll operators","role-group","0","0","1","1","1","/organizations/toll-operators/"
"0.3.0","transit-rail-operators","Transit and passenger rail operators","Transit and rail operators","role-group","0","0","1","1","1","/organizations/transit-rail-operators/"
"0.3.0","grantees-subrecipients","Transit grantees and subrecipients","Grantees and subrecipients","role-group","0","0","2","2","2","/organizations/grantees-subrecipients/"
"0.3.0","usdot","United States Department of Transportation","USDOT","federal-agency","0","0","1","1","1","/organizations/usdot/"
